Date,Open,High,Low,Close,Volume
1973-01-31,992.9,1004.1,988.1,999,3354135
1973-02-01,999,1008.6,983.1,985.8,4662406
1973-02-02,985.8,992.3,975,980.8,3940602
1973-02-05,980.8,987.1,974.1,978.4,3288722
1973-02-06,978.4,986,972.2,979.9,3545865
1973-02-07,979.9,989.2,965.5,968.3,4051128
1973-02-08,968.3,973.8,954.2,967.2,4159398
1973-02-09,967.2,983.1,964.9,979.5,4344361
1973-02-12,980.8,996.2,980.8,991.6,3638346
1973-02-13,991.7,1019.9,991.7,996.8,5711278
1973-02-14,996.8,998,974.1,979.9,3726316
1973-02-15,979.9,984.1,966.3,973.1,3144361
1973-02-16,973.1,981.9,965.8,979.2,3004511
1973-02-20,979.2,991,975.7,983.6,3162406
1973-02-21,983.6,988.8,970.3,974.3,3356391
1973-02-22,974.3,978.6,963.1,971.8,3286466
1973-02-23,971.8,973.8,957.1,959.9,3484962
1973-02-26,959.9,962.9,943.8,953.8,3577444
1973-02-27,953.8,963.1,943.3,947.9,3638346
1973-02-28,947.9,958.3,938.8,955.1,4048872
1973-03-01,955.1,967,947.2,949.7,4107519
1973-03-02,949.7,963,937.7,961.3,3994737
1973-03-05,961.3,972,955.7,966.9,3094737
1973-03-06,966.9,982.4,966.4,979,3994737
1973-03-07,979,984.8,966.7,980,4355639
1973-03-08,980,985.3,973.6,976.4,3406015
1973-03-09,976.4,978,963.6,972.2,3173684
1973-03-12,972.2,979,965.7,969.8,3115038
1973-03-13,969.8,980.1,966.3,976.1,3205263
1973-03-14,976.1,982.3,972,978.9,3261654
1973-03-15,978.9,982.5,966.2,969.8,3259398
1973-03-16,969.8,973.2,957.4,963.1,3412782
1973-03-19,962.5,962.5,946.8,952.1,2810526
1973-03-20,952.1,956.8,941.2,949.4,2988722
1973-03-21,949.4,958.8,934.9,938.4,3627068
1973-03-22,937.5,937.5,919.3,925.2,3863910
1973-03-23,925.2,934.5,911.1,922.7,4166165
1973-03-26,922.7,931.7,914.3,927.9,3378947
1973-03-27,930.2,948.5,930.2,944.9,3947368
1973-03-28,944.9,955.8,936.9,948,3575188
1973-03-29,948,962.8,941.8,959.1,3620301
1973-03-30,959.1,961.7,944.8,951,3099248
1973-04-02,951,951.8,932.7,936.2,2400000
1973-04-03,936.2,936.7,920.5,927.8,2912030
1973-04-04,927.8,935.7,919.6,925.1,2681955
1973-04-05,925.1,929,914.8,923.5,2875940
1973-04-06,923.5,937.3,921.4,931.1,3133083
1973-04-09,931.1,950.6,927.5,947.6,3099248
1973-04-10,950.7,966.7,950.7,960.5,3782707
1973-04-11,960.5,970.5,953.9,967.4,3358647
1973-04-12,967.4,975.3,956.7,964,3690226
1973-04-13,964,967.6,950.7,959.4,3245865
1973-04-16,959.4,965.5,950,956.7,2560150
1973-04-17,956.7,959.3,947.6,953.4,2893985
1973-04-18,953.4,961.5,944.4,958.3,3133083
1973-04-19,958.3,971,953.8,963.2,3284211
1973-04-23,963.2,966.5,951.2,955.4,2837594
1973-04-24,955.4,958.7,938.4,940.8,3119549
1973-04-25,940.8,941.6,925.4,930.5,3600000
1973-04-26,930.5,944.2,919.8,937.8,3656391
1973-04-27,937.8,941.4,918.1,922.2,3096992
1973-04-30,922.2,929.2,907.5,921.4,3342857
1973-05-01,921.4,929,905.4,921.2,3469173
1973-05-02,921.2,938.4,920.2,932.3,3243609
1973-05-03,932.3,950,915,945.7,4006015
1973-05-04,945.7,962.7,944.3,953.9,4400752
1973-05-07,953.9,956.8,942,950.7,2819549
1973-05-08,950.7,961.2,940.9,956.6,3096992
1973-05-09,956.6,965.2,945.3,949.1,3620301
1973-05-10,949.1,950.6,934.8,939.3,3049624
1973-05-11,939.1,939.1,924.1,928,2927820
